IID,ancestry,white_brit,Unnamed: 0
1895325,United Kingdom,1,454906
5061085,United Kingdom,1,202438
4362965,United Kingdom,1,144862
2800983,United Kingdom,1,53351
4871861,United Kingdom,1,282965
4708679,United Kingdom,1,108457
2552226,United Kingdom,1,435101
2394387,United Kingdom,1,221103
4375307,United Kingdom,1,313057
3595411,United Kingdom,1,480996
1331415,United Kingdom,1,157242
4016273,United Kingdom,1,24175
1131661,United Kingdom,1,50556
3852732,United Kingdom,1,34201
1803037,United Kingdom,1,307360
1622200,United Kingdom,1,127455
4573224,United Kingdom,1,365809
3788813,United Kingdom,1,449959
2004879,United Kingdom,1,68113
2088744,United Kingdom,1,70195
2262943,United Kingdom,1,467382
5365266,United Kingdom,1,106057
4597198,United Kingdom,1,17612
1282160,United Kingdom,1,239935
3402911,United Kingdom,1,201453
1772090,United Kingdom,1,276201
2285436,United Kingdom,1,408158
5903169,United Kingdom,1,176244
2272474,United Kingdom,1,467753
1745049,United Kingdom,1,333156
2412175,United Kingdom,1,143960
1954469,United Kingdom,1,147771
4293848,United Kingdom,1,335546
4736502,United Kingdom,1,263487
2396538,United Kingdom,1,378782
2283118,United Kingdom,1,408384
2081597,United Kingdom,1,46036
5662748,United Kingdom,1,324072
4618792,United Kingdom,1,411263
4395399,United Kingdom,1,453624
3651386,United Kingdom,1,392650
5252436,United Kingdom,1,133895
5144413,United Kingdom,1,171349
4699877,United Kingdom,1,166128
5005588,United Kingdom,1,376631
1060320,United Kingdom,1,137773
1409280,United Kingdom,1,178822
1908668,United Kingdom,1,416816
1563356,United Kingdom,1,33589
5992012,United Kingdom,1,174747
1916833,United Kingdom,1,124075
1108678,United Kingdom,1,120898
3258287,United Kingdom,1,461526
5882966,United Kingdom,1,408536
2157513,United Kingdom,1,434415
1163208,United Kingdom,1,426936
4429684,United Kingdom,1,211782
3875169,United Kingdom,1,31928
4349591,United Kingdom,1,180137
1963584,United Kingdom,1,159278
3578050,United Kingdom,1,257986
4261715,United Kingdom,1,55185
4654762,United Kingdom,1,326504
2355464,United Kingdom,1,440926
2613080,United Kingdom,1,62907
3797113,United Kingdom,1,404302
1929268,United Kingdom,1,113578
2762944,United Kingdom,1,50187
3426506,United Kingdom,1,462220
3957188,United Kingdom,1,289022
1138068,United Kingdom,1,374619
2217240,United Kingdom,1,327721
1686778,United Kingdom,1,20914
2018715,United Kingdom,1,380066
4400421,United Kingdom,1,192432
1393508,United Kingdom,1,485605
2061638,United Kingdom,1,90029
3288618,United Kingdom,1,403771
1639030,United Kingdom,1,405970
1293703,United Kingdom,1,43141
4142872,United Kingdom,1,122668
4717984,United Kingdom,1,198835
5922677,United Kingdom,1,254228
1694923,United Kingdom,1,302903
5765439,United Kingdom,1,244463
3039870,United Kingdom,1,221612
3690107,United Kingdom,1,419095
1955896,United Kingdom,1,257046
1179920,United Kingdom,1,114838
2697110,United Kingdom,1,477160
1605332,United Kingdom,1,130896
4482114,United Kingdom,1,112734
4187807,United Kingdom,1,341429
2870056,United Kingdom,1,211425
3385107,United Kingdom,1,20530
2833306,United Kingdom,1,86417
3942808,United Kingdom,1,206069
1636408,United Kingdom,1,454629
5704890,United Kingdom,1,272699
3878816,United Kingdom,1,382369
2556566,United Kingdom,1,114066
4152468,United Kingdom,1,214052
2066692,United Kingdom,1,74749
3119806,United Kingdom,1,142501
3300480,United Kingdom,1,42377
1342192,United Kingdom,1,275409
4138532,United Kingdom,1,53628
1036985,United Kingdom,1,79430
3622916,United Kingdom,1,134519
1657817,United Kingdom,1,39439
4916879,United Kingdom,1,374876
2557016,United Kingdom,1,224785
1865646,United Kingdom,1,98969
5653487,United Kingdom,1,34901
2746747,United Kingdom,1,68665
5166653,United Kingdom,1,410094
5608508,United Kingdom,1,149650
5208119,United Kingdom,1,176150
2168622,United Kingdom,1,402479
4675603,United Kingdom,1,175941
3784968,United Kingdom,1,15261
5821833,United Kingdom,1,232985
1197076,United Kingdom,1,79531
5780855,United Kingdom,1,266891
2947817,United Kingdom,1,350692
2031896,United Kingdom,1,296077
3304246,United Kingdom,1,466873
2280811,United Kingdom,1,149855
2432767,United Kingdom,1,67723
4002519,United Kingdom,1,386425
1744220,United Kingdom,1,166916
5679986,United Kingdom,1,81746
5038685,United Kingdom,1,312850
2110096,United Kingdom,1,102659
3140065,United Kingdom,1,439658
1971795,United Kingdom,1,225271
4482093,United Kingdom,1,345029
3214984,United Kingdom,1,423781
4843311,United Kingdom,1,445873
3506052,United Kingdom,1,180241
4865386,United Kingdom,1,3346
5244015,United Kingdom,1,184455
1049505,United Kingdom,1,319563
2214887,United Kingdom,1,457312
5626100,United Kingdom,1,125180
2684636,United Kingdom,1,241791
2115527,United Kingdom,1,231499
2864304,United Kingdom,1,378122
2091399,United Kingdom,1,167179
2992939,United Kingdom,1,270883
2868610,United Kingdom,1,13502
4818281,United Kingdom,1,183451
2468490,United Kingdom,1,97222
2737677,United Kingdom,1,25465
1186452,United Kingdom,1,100293
5391265,United Kingdom,1,427494
2150391,United Kingdom,1,309991
4575216,United Kingdom,1,218360
1729580,United Kingdom,1,304342
2769891,United Kingdom,1,471529
3272903,United Kingdom,1,368118
5734110,United Kingdom,1,352358
1604766,United Kingdom,1,85084
4093641,United Kingdom,1,97013
1367400,United Kingdom,1,122162
5900136,United Kingdom,1,199050
4858520,United Kingdom,1,236202
5529997,United Kingdom,1,61411
2917209,United Kingdom,1,156491
5789278,United Kingdom,1,392765
3433532,United Kingdom,1,101746
2068110,United Kingdom,1,150830
2447188,United Kingdom,1,80916
1274096,United Kingdom,1,205159
3476118,United Kingdom,1,189125
3102209,United Kingdom,1,403197
4256164,United Kingdom,1,248901
2894532,United Kingdom,1,356498
5541035,United Kingdom,1,267523
1005389,United Kingdom,1,343108
4666924,United Kingdom,1,103972
3735272,United Kingdom,1,24651
3118929,United Kingdom,1,85263
3628767,United Kingdom,1,301478
4025899,United Kingdom,1,251622
3325510,United Kingdom,1,234139
3433476,United Kingdom,1,318035
1564962,United Kingdom,1,155293
2198426,United Kingdom,1,393152
4065020,United Kingdom,1,99602
2691334,United Kingdom,1,72100
3916631,United Kingdom,1,375702
1760118,United Kingdom,1,44588
4509816,United Kingdom,1,173396
2071765,United Kingdom,1,473865
3470239,United Kingdom,1,297449
2496998,United Kingdom,1,83176
4600118,United Kingdom,1,216717
4808906,United Kingdom,1,264458
5858458,United Kingdom,1,485172
2284896,United Kingdom,1,433619
3116683,United Kingdom,1,317757
1515965,United Kingdom,1,413320
4841478,United Kingdom,1,213576
4972992,United Kingdom,1,461554
5290773,United Kingdom,1,187878
4071230,United Kingdom,1,183703
4503934,United Kingdom,1,443679
3796007,United Kingdom,1,221324
4831106,United Kingdom,1,101222
3077497,United Kingdom,1,104533
4263886,United Kingdom,1,402385
4648216,United Kingdom,1,161605
3845087,United Kingdom,1,148976
2844744,United Kingdom,1,8414
2734248,United Kingdom,1,411660
4485465,United Kingdom,1,175617
1393648,United Kingdom,1,482494
4470082,United Kingdom,1,246466
3784131,United Kingdom,1,375987
6003489,United Kingdom,1,133787
2317677,United Kingdom,1,431480
5499880,United Kingdom,1,53803
2965629,United Kingdom,1,35547
4887003,United Kingdom,1,322915
5206924,United Kingdom,1,274683
2908935,United Kingdom,1,391730
4992225,United Kingdom,1,268158
1418507,United Kingdom,1,250645
5103707,United Kingdom,1,308993
4404913,United Kingdom,1,150787
4224720,United Kingdom,1,478058
2495502,United Kingdom,1,446215
3261233,United Kingdom,1,142383
4199060,United Kingdom,1,35106
3592285,United Kingdom,1,16450
2109221,United Kingdom,1,44240
1697597,United Kingdom,1,338427
1198047,United Kingdom,1,374325
2446050,United Kingdom,1,163104
5856721,United Kingdom,1,167168
4530242,United Kingdom,1,80700
1153976,United Kingdom,1,18127
4974825,United Kingdom,1,346953
2651121,United Kingdom,1,44704
4919867,United Kingdom,1,453820
2233121,United Kingdom,1,184103
5457403,United Kingdom,1,413468
1653080,United Kingdom,1,118927
1436867,United Kingdom,1,484859
5647008,United Kingdom,1,440766
1343279,United Kingdom,1,253027
2407912,United Kingdom,1,304297
3695194,United Kingdom,1,69940
5547744,United Kingdom,1,235116
1529860,United Kingdom,1,197024
2163062,United Kingdom,1,458795
